Timestamp,"
Q1. How would you feel if the system provides secure online club registration?","
Q2. How would you feel if login authentication is secure and reliable?","
Q3.How would you feel if club leaders can create new events online?    ","
Q4.  How would you feel if club leaders can view and track club budget balances?","
Q5. How would you feel if the system sends automatic notifications for approvals, rejections, or updates?","Q6. The addition of Accessibility features such as color contrast , highlighted text etc.","
Q7.  How would you feel if the event creation process is efficient and guided (wizard)? ","
Q8. How would you feel if the system provides real-time updates on budget spending?","
Q9. How would you feel if there is a searchable venue database (location, size, availability)?","
Q10. How would you feel if you can RSVP to register for events easily?    ","
Q11. How would you feel if you can export club financial data to CSV files?","
Q12. How would you feel if interested students can apply to join a club online?","
Q13. How would you feel if you have a personal dashboard showing upcoming events, budget graphs, and reminders?    ","
Q14. How would you feel if you receive mobile push notifications for critical updates?","
Q15. How would you feel if the system sends reminder alerts before your “interested” events?","
Q16. How would you feel if the system recommends clubs that might interest you?",Q17. A section to highlight trending Clubs,Q18. The abillity for club members  to message each other.,Q19. How would you feel about getting points/awards (badges/titles) for participating in club events
27/04/2025 00:36:43,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be neutral,I would be neutral,I would be neutral,I would be neutral,I would be neutral,I would be satisfied,I would be satisfied,I would be neutral
27/04/2025 00:44:21,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be neutral,I would be neutral,I would be neutral,I would be neutral,I would be neutral,I would be satisfied,I would be satisfied,I would be neutral
27/04/2025 02:15:39,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be neutral,I would be neutral,I would be neutral,I would be neutral,I would be neutral,I would be satisfied,I would be satisfied,I would be neutral
27/04/2025 03:25:20,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be neutral,I would be neutral,I would be neutral,I would be neutral,I would be neutral,I would be satisfied,I would be satisfied,I would be neutral
27/04/2025 03:48:25,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be neutral,I would be neutral,I would be neutral,I would be neutral,I would be neutral,I would be satisfied,I would be satisfied,I would be neutral
27/04/2025 05:56:15,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be neutral,I would be neutral,I would be neutral,I would be neutral,I would be neutral,I would be satisfied,I would be satisfied,I would be neutral
27/04/2025 08:22:41,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be neutral,I would be neutral,I would be neutral,I would be neutral,I would be neutral,I would be satisfied,I would be satisfied,I would be neutral
27/04/2025 08:47:37,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be neutral,I would be neutral,I would be neutral,I would be neutral,I would be neutral,I would be satisfied,I would be satisfied,I would be neutral
27/04/2025 09:10:36,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be neutral,I would be neutral,I would be neutral,I would be neutral,I would be neutral,I would be satisfied,I would be satisfied,I would be neutral
27/04/2025 09:19:51,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be neutral,I would be neutral,I would be neutral,I would be neutral,I would be neutral,I would be satisfied,I would be satisfied,I would be neutral
27/04/2025 09:34:46,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
27/04/2025 10:21:09,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
27/04/2025 10:46:38,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
27/04/2025 11:12:26,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
27/04/2025 11:22:18,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
27/04/2025 12:14:58,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
27/04/2025 12:23:10,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
27/04/2025 13:10:20,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
27/04/2025 14:03:40,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
27/04/2025 14:11:34,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
27/04/2025 14:49:56,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
27/04/2025 15:04:12,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
27/04/2025 15:44:16,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
27/04/2025 16:20:13,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
27/04/2025 17:02:12,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
27/04/2025 17:07:30,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
27/04/2025 18:00:47,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
27/04/2025 18:04:47,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
27/04/2025 18:23:10,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
27/04/2025 18:52:21,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
27/04/2025 18:56:56,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
27/04/2025 19:05:14,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
27/04/2025 19:43:16,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
27/04/2025 19:44:31,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
27/04/2025 21:14:35,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
27/04/2025 21:42:34,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
28/04/2025 03:21:07,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
28/04/2025 07:13:54,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
28/04/2025 08:33:20,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
28/04/2025 08:43:54,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
28/04/2025 09:06:19,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
28/04/2025 09:07:39,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
28/04/2025 09:46:29,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
28/04/2025 09:52:15,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
28/04/2025 10:16:00,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
28/04/2025 10:31:07,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
28/04/2025 10:57:42,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
28/04/2025 11:00:41,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
28/04/2025 11:36:11,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
28/04/2025 12:19:38,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
28/04/2025 12:31:27,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
28/04/2025 12:35:03,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
28/04/2025 13:12:33,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
